pair,side,date,month,z,hit,base_z,base_hit
NZDUSD,bottom,2009-02-23,2009-02,3.4128410279233385,1.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2011-12-26,2011-12,1.2949446441960901,1.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2012-05-28,2012-05,1.1976224464506604,1.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2014-09-22,2014-09,-0.9051226032746048,0.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2014-12-29,2014-12,-0.33801569878044974,0.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2015-06-01,2015-06,-1.717822059684495,0.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2019-09-23,2019-09,0.9422864452793214,1.0,0.04267930550930957,0.5014339289653651
NZDUSD,bottom,2022-05-30,2022-05,-1.1543947260882532,0.0,0.04267930550930957,0.5014339289653651
AUDUSD,top,2011-02-14,2011-02,-1.5095241827322081,0.0,-0.03348516925929382,0.5106993161261858
AUDUSD,top,2012-10-01,2012-10,0.0037997740640877365,1.0,-0.03348516925929382,0.5106993161261858
AUDUSD,top,2017-07-17,2017-07,0.12113295890907594,1.0,-0.03348516925929382,0.5106993161261858
AUDUSD,top,2020-09-21,2020-09,-0.8558219077634117,0.0,-0.03348516925929382,0.5106993161261858
AUDUSD,top,2021-01-18,2021-01,0.14613073021018702,1.0,-0.03348516925929382,0.5106993161261858
AUDUSD,top,2024-09-30,2024-09,1.8910556150289413,1.0,-0.03348516925929382,0.5106993161261858
AUDUSD,top,2026-01-26,2026-01,-0.7380707722378398,0.0,-0.03348516925929382,0.5106993161261858
AUDUSD,bottom,2011-10-03,2011-10,1.3444325621898583,1.0,0.03348516925929382,0.4884182660489742
AUDUSD,bottom,2012-05-28,2012-05,1.1829562139883294,1.0,0.03348516925929382,0.4884182660489742
AUDUSD,bottom,2013-05-27,2013-05,-1.0688370382867807,0.0,0.03348516925929382,0.4884182660489742
AUDUSD,bottom,2015-01-12,2015-01,-1.3660208722736389,0.0,0.03348516925929382,0.4884182660489742
AUDUSD,bottom,2021-10-11,2021-10,-0.42849417877372853,0.0,0.03348516925929382,0.4884182660489742
AUDUSD,bottom,2022-02-14,2022-02,-0.4697160705159344,0.0,0.03348516925929382,0.4884182660489742
USDCHF,top,2011-12-19,2011-12,0.5773613596702118,1.0,0.09680290353436154,0.5470536499560247
