pair,direction,entry,stop,target,planned_rr,realized_R,bars_held,exit_reason
EUR/JPY,long,180.351,179.61403485752658,182.0059967,2.2456919664415227,2.2456919664415227,272,target
EUR/JPY,long,183.68693,183.52982207395596,184.9119,7.7969968215141385,-1.0,41,stop
EUR/JPY,long,184.12027,184.10200484654428,185.57225,79.49454153337722,-1.0,1,stop
EUR/JPY,long,184.16436,183.79600346462237,185.57225,3.8220850311688754,-1.0,5,stop
EUR/JPY,long,183.82324,183.78623433825166,185.57225,47.26330829845315,-1.0,1,stop
EUR/JPY,long,183.99477,183.3924752682904,185.57225,2.6191163843031253,2.6191163843031253,61,target
EUR/JPY,long,184.9555,184.56889947641451,185.94477,2.5588946202791574,-1.0,17,stop
EUR/JPY,long,184.83247,184.28205814826612,185.94477,2.02085038048524,-1.0,13,stop
GBP/JPY,long,205.83867,205.2581162200662,207.21807,2.376007266987868,2.376007266987868,38,target
GBP/JPY,long,206.50139,206.26736890208667,207.3656,3.692872171380621,3.692872171380621,31,target
GBP/JPY,long,211.31744,211.2603368684342,212.15138,14.604102737148184,-1.0,1,stop
GBP/JPY,long,212.28375,211.92903865561507,214.2839,5.638810350056007,-1.0,5,stop
GBP/JPY,long,211.92283,211.92134450921364,214.2839,1589.4208309278238,-1.0,1,stop
GBP/JPY,long,211.9576,211.45898231367408,214.2839,4.665498364370802,-1.0,6,stop
GBP/JPY,long,211.90376,211.45400902744947,214.2839,5.292128633991022,-1.0,2,stop
GBP/JPY,long,213.25581,212.87255594459302,214.44051,3.0911610282687114,-1.0,24,stop
AUD/JPY,long,105.89326,105.51728419660553,106.74297,2.260012459122269,-1.0,90,stop
AUD/JPY,long,107.35703,107.21819073186134,109.0032,11.856660021832191,-1.0,8,stop
AUD/JPY,long,106.78271,105.99179053364296,109.0032,2.807479262367318,2.807479262367318,178,target
AUD/JPY,long,108.6352,108.54426733686174,110.18719,17.067464499969997,17.067464499969997,15,target
AUD/JPY,long,110.81656,110.74683161574042,111.27799,6.6175346653989555,-1.0,7,stop
NZD/JPY,short,85.893,86.04353216987671,85.358,3.554057584090959,-1.0,12,stop
NZD/JPY,short,85.982,86.06000683005931,85.358,7.9992995424319595,-1.0,5,stop
NZD/JPY,long,93.06014,92.87679234112537,93.89074,4.530191468481767,4.530191468481767,21,target
NZD/JPY,long,93.41742,93.4106342460999,94.60865,175.54865937324126,-1.0,1,stop
NZD/JPY,long,93.50353,93.41982077852492,94.60865,13.201890789643182,13.201890789643182,13,target
NZD/JPY,long,93.96453,93.8821030991785,94.86,10.86380770204092,-1.0,2,stop
NZD/JPY,long,93.29217,93.14003069505053,94.10326,5.331232453502953,-1.0,14,stop
