study,pair,date,side,outcome,tie,k
single pct_b,GBPUSD,2011-01-13,top,continuation,False,2
single pct_b,GBPUSD,2011-03-03,top,reversal,False,3
single pct_b,GBPUSD,2011-03-17,bottom,reversal,False,1
single pct_b,GBPUSD,2011-06-23,bottom,continuation,False,12
single pct_b,GBPUSD,2011-07-22,top,reversal,False,13
single pct_b,GBPUSD,2011-08-18,top,reversal,False,5
single pct_b,GBPUSD,2011-09-07,bottom,continuation,False,4
single pct_b,GBPUSD,2011-09-23,bottom,reversal,False,1
single pct_b,GBPUSD,2011-10-17,top,reversal,False,1
single pct_b,GBPUSD,2011-10-24,top,continuation,False,4
single pct_b,GBPUSD,2011-11-17,bottom,reversal,False,1
single pct_b,GBPUSD,2011-11-22,bottom,continuation,False,3
single pct_b,GBPUSD,2011-12-29,bottom,reversal,False,3
single pct_b,GBPUSD,2012-01-12,bottom,reversal,False,5
single pct_b,GBPUSD,2012-04-20,top,continuation,False,4
single pct_b,GBPUSD,2012-04-30,top,reversal,False,2
single pct_b,GBPUSD,2012-05-16,bottom,continuation,False,1
single pct_b,GBPUSD,2012-05-24,bottom,continuation,False,4
single pct_b,GBPUSD,2012-08-23,top,reversal,False,3
single pct_b,GBPUSD,2012-09-10,top,continuation,False,2
single pct_b,GBPUSD,2012-10-09,bottom,reversal,False,6
single pct_b,GBPUSD,2012-11-12,bottom,reversal,False,9
single pct_b,GBPUSD,2012-12-18,top,continuation,False,1
single pct_b,GBPUSD,2013-01-21,bottom,continuation,False,5
single pct_b,GBPUSD,2013-02-14,bottom,continuation,False,4
single pct_b,GBPUSD,2013-02-21,bottom,continuation,False,2
single pct_b,GBPUSD,2013-04-08,top,reversal,False,10
single pct_b,GBPUSD,2013-04-29,top,reversal,False,9
single pct_b,GBPUSD,2013-05-23,bottom,reversal,False,5
single pct_b,GBPUSD,2013-06-07,top,continuation,False,6
single pct_b,GBPUSD,2013-07-05,bottom,continuation,False,1
single pct_b,GBPUSD,2013-08-08,top,continuation,False,7
single pct_b,GBPUSD,2013-09-11,top,continuation,False,2
single pct_b,GBPUSD,2013-09-19,top,reversal,False,1
single pct_b,GBPUSD,2013-11-25,top,continuation,False,3
single pct_b,GBPUSD,2013-12-30,top,continuation,False,3
single pct_b,GBPUSD,2014-01-24,top,reversal,False,1
